topic,hdbscan_label,size,size_all_editions,words,n_works,n_works_ge3,dominant_work,dominant_work_share,top3_work_share,top_works,top_author_raw,top_author_share,genre_mix_of_topic,play_type_mix,ctfidf_top10,keybert_top10,mmr_top10,names_in_top30,representative_chunks,draft_label,pattern_basis,use_in_genre_analysis,basis,review_status,chunks_read,Label,Notes
7,23,124,165,61955,33,8,Troilus and Cressida,0.234,0.54,"Troilus and Cressida (29); Troas (Seneca's Sixth Tragedy) (26); Agamemnon (Seneca's Eighth Tragedy) (12); Dido, Queen of Carthage (11); Cynthia's Revenge, or Maenander's Ecstas (7)","Heywood, JasperSeneca, Lucius Annaeus",0.258,tragedy 77%; comedy 6%; history 4%,Translation;Nonprofessional;Cl 36%; Adult Professional;Professiona 31%,"*hector, *troy, *achilles, *greeks, *aeneas, *priam, *ulysses, *troilus, *trojan, *trojans","*aeneas, *troilus, *pyrrhus, *agamemnon, *troy, *greeks, *ulysses, gods, *trojans, *trojan","*aeneas, fear, *troilus, gods, *ajax, seas, *greeks, sword, *pyrrhus, *agamemnon","hector, troy, achilles, greeks, aeneas, priam, ulysses, troilus, trojan, trojans, pyrrhus, dido, aiax, ajax, agamemnon, paris","[49_00019 — Troas (Seneca's Sixth Tragedy) (Heywood, JasperSeneca, Lucius Annaeus, 1581); tragedy] O dear, O sweet, thy mother's pledge, farewell my only joy, Farewell the flower of honour left of beaten house of Troy. O Trojans last calamity and fear to Grecians part Farewell thy mother's only hope, and vain comfort of heart. Oft wish I thee thy father's strength and half thy grandsires years But all for nought the Gods have all dispointed our …

[49_00020 — Troas (Seneca's Sixth Tragedy) (Heywood, JasperSeneca, Lucius Annaeus, 1581); tragedy] O Ioue that lead'st the lamps of fire, and deckest with flaming stars the sky. Why is it ever thy desire ro care their course so orderly? That now the frost the leaves hath worn now the spring doth close the tree. Now fiery Leo ripes the corn, and still the soil should changed be? But why art thou that all dost guide, between whose hands the pole d…

[49_00018 — Troas (Seneca's Sixth Tragedy) (Heywood, JasperSeneca, Lucius Annaeus, 1581); tragedy] And though thy grief pierce not thy tender years, Yet learn to wail thy wretched state by me, And take ensample at thy mother's tears. Once Troy hath seen the weeping of a child, When little Priam turned Alcides' threats, And he to whom all beasts in strength did yield, That made his way from hell, and broke their gates His little enemies tears yet…","The Trojan war: Troy, Greeks and Hector",shared_narrative,included,"124 chunks, 33 works (8 with 3+), Troilus and Cressida 23 %, top three 54 %. One legend — the siege and fall of Troy, Aeneas — in Shakespeare, the Seneca translations, Marlowe's Dido and later imitators; keywords are names. Group decision (single-story clusters T7, T20, T34, T54, T55, T59): decide once whether a shared story counts as a subject for genre comparison, as subject areas already do (T2 Rome, T10/T18 English chronicle matter, T12 the gods); if yes → candidate with the concentration noted, if no → contextual_only.",user_confirmed,658_00007;49_00013;76_00014;409_00015;720_00061;1008_00032;244_00023,The Trojan war: conflict and its aftermath,"follow-up reading supports a coherent Trojan-war and aftermath domain across Troilus and Cressida, Troas, Agamemnon and Dido, including siege, wartime suffering, return and exile. Full chunks reviewed: 658_00007; 49_00013; 76_00014; 244_00023."
14,62,117,119,57552,55,14,"Philaster, or Love Lies a-Bleeding",0.094,0.197,"Philaster, or Love Lies a-Bleeding (11); 1 If You Know Not Me You Know Nobody, or (6); The Phoenix in Her Flames (6); A King and No King (5); Aglaura (5)","Beaumont, FrancisFletcher, John",0.162,tragicomedy 28%; tragedy 17%; not in BritDrama 17%,Adult Professional;Professiona 70%; Boys Professional;Professional 9%,"*prince, *princess, love, king, *lord, *queen, madam, grace, *lady, life","*prince, *princess, royal, *queen, majesty, king, *lord, *lady, honour, love","*prince, thoughts, love, madam, majesty, look, king, royal, *queen, honour","prince, princess, lord, queen, lady","[1153_00033 — Sicily and Naples, or The Fatal Union (Harding, Samuel, 1640); not in BritDrama] We must disarm you Lady;— 'tis a duty to our Prince Was never till now unwillingly performed! You must back toth' Court, whither we'll wait upon you. villains, cowards, The Princess! what made she abroad so late? Did she not say that she had killed the King too? Come let's walk the round; things are yet unsettled. 'Tis so dark now, an the devil sho…

[720_00002 — Cynthia's Revenge, or Maenander's Ecstasy (Stephens, John, 1613); tragedy] My daughter? unexpected happiness! Give me then leave, sweet ravishment, to see Her glad espousal celebrated once, By which, but some conjecture may arise, To see the royal issue of her womb; And I'll go lodge in my forefather's tomb. Do all agree with this old o'erjoyed man? True subjects will commend Menander's choice. Nothing doth more prevent a…

[1075_00022 — The Royal Master (Shirley, James, 1638); not in BritDrama] What does distract you Sir. I have done your message to the Duke, and find He does love Domitilla. Her he shall meet and marry in Elysium. What mean you? I have shook off my tameness; do not hinder My just revenge; I'll turn their triumphs into death. There is a question of more consequence Thou must resolve; it does concern thee more Than thy own …","Royal courts: princes, princesses and succession",thematic_discourse,included,"117 chunks, 55 works, Philaster 9 %. Kings' courts: princes and princesses, succession, royal marriage and disguise; Beaumont and Fletcher, Heywood, Suckling, Shirley. The royal counterpart of T0 (ducal court); cross-work theme.",user_confirmed,815_00003;503_00007;1120_00022;642_00025;1078_00010;808_00002;1125_00002,"Royal love, favour and dynastic relationships","sample review supports royal love, favour and dynastic relationships more directly than succession alone. Include with this revised label; crown transfer is a different emphasis from the sampled intimate and patronage relations. Reviewed excerpts (three different works): 1153_00033; 687_00025; 1125_00002."
10,59,116,148,57526,25,12,The Reign of King Edward the Third,0.147,0.371,The Reign of King Edward the Third (17); 1 Henry the Sixth (15); King John (11); 2 Edward the Fourth (10); Henry the Fifth (9),"Shakespeare, William",0.172,history 67%; tragedy 23%; romance 5%,Adult Professional;Professiona 78%; Closet/Unacted;Nonprofessional 8%,"*france, *french, *england, king, *lord, *english, *edward, *talbot, peace, *lords","*france, *lords, *french, *arthur, *angiers, *lord, majesty, king, *charles, *earl","*france, *lords, *earl, majesty, fight, *philip, *arthur, *dolphin, *english, *angiers","france, french, england, lord, english, edward, talbot, lords, philip, iohn, dolphin, arthur, earl, lewis, charles, angiers","[751_00016 — The Four Prentices of London (Heywood, Thomas, 1615); romance] I reck thee not, my frown thou canst not fright. we are no babe; or if we were, yet know Thy proud face cannot like a Bugbear show. Thou hast struck fire upon a flinty spirit. Thinkest thou, because thou leadest the French Kings troops, And art Commander of a few bold French, That we will yield the upper hand to thee? I let thee know thou hast dish…

[878_00034 — 1 Henry the Sixth (AnonymousMarlowe, ChristopherShakespeare, WilliamNashe, Thomas, 1623); history] In argument and proof of which contract, Bear her this jewel, pledge of my affection. And so my Lord Protector see them guarded, And safely brought to Dover, wherein shipped Commit them to the fortune of the sea. Stay my Lord Legate, you shall first receive The sum of money which I promised Should be delivered to his Holiness, For clothing me in th…

[271_00030 — The Reign of King Edward the Third (AnonymousShakespeare, William, 1596); history] The king of France my sovereign Lord and master, Greets by me his foe, the Prince of Walls, If thou call forth a hundred men of name Of Lords, Knights, Esquires and English gentlemen, And with thyself and those kneel at his feet, He straight will fold his bloody colours up, And ransom shall redeem lives forfeited: If not, this day shall drink more …","England and France: war, embassy and peace",shared_narrative+thematic_discourse,included,"116 chunks, 25 works (12 with 3+), Edward III 15 %, top three 37 %. Anglo-French war and diplomacy: levies, ambassadors, treaties, the Dauphin, Talbot; Edward III, 1 Henry VI, King John, Henry V, Heywood's Edward IV, also Sampson's Vow Breaker. Historical matter shared by many plays, not one story; mostly histories, so the topic→genre direction is expected.",user_confirmed,271_00002;878_00028;876_00036;351_00003;1041_00030;371_00008;351_00002,"England and France: war, embassy and peace","sample review supports Anglo-French war and political relations, with crusading material at the boundary. Include as a historical subject domain, not a claim that every chunk describes direct war between England and France. Reviewed excerpts (three different works): 751_00016; 271_00022; 371_00001."
13,6,109,126,54095,55,9,The Knight of the Burning Pestle,0.11,0.266,The Knight of the Burning Pestle (12); Eastward Ho (10); Every Man Out of His Humor (7); 2 Henry the Fourth (5); The Two Maids of More-Clacke (4),"Shakespeare, William",0.119,comedy 75%; history 6%; not in BritDrama 6%,Adult Professional;Professiona 44%; Boys Professional;Professional 29%,"knight, *raph, *lady, knights, *george, master, squire, *rafe, pray, *god","knight, knights, knighthood, squire, gentleman, *lady, *god, *george, faith, boy","knight, pray, gentleman, wife, look, squire, *george, fair, *raph, boy","raph, lady, george, rafe, god","[606_00035 — Volpone, or The Fox (Jonson, Ben, 1616); comedy] Pray you, let's see, sir. What is here? notandum, A rat had gnawn my spurre-lethers; notwithstanding, I put on new, and did go forth: but, first, I threw three beans over the threshold. Item, I went, and bought two toothpicks, whereof one I burst, immediately, in a discourse With a dutch merchant, 'bout ragion del stato. From him I went, and paid a…

[378_00044 — 2 Henry the Fourth (Shakespeare, William, 1600); history] O joyful day! I would not take a Knight for my fortune. What? I do bring good news. Carry master Scilens to bed: master Shallow, my lord Shallow, be what thou wilt, I am fortune's steward, get on thy boots, we'll ride all night: o sweet Pistol, away Bardolf, come Pistol, utter more to me, and withal, devise something to do thyself good, boot, boot …

[514_00034 — Eastward Ho (Chapman, GeorgeJonson, BenMarston, John, 1605); comedy] O, good Sister! Sister, sir reverence? come away, I say, Hunger drops out at his nose. O Madam, Fair words never hurt the tongue. How say you by that? you come out with your gold ends now! Stay Lady-daughter: good husband. Wife, no man loves his fetters, be they made of gold: I list not ha' my head fastened under my child's girdle; as she has brewe…","Knights, squires and ladies",thematic_discourse+recurring_role_or_name,pending,"109 chunks, 55 works, Knight of the Burning Pestle 11 %. Knights and squires — chivalric burlesque, knights as suitors, 'Sir' and 'Knight' as forms of address; Beaumont, Jonson, Heywood, Barry, Sharpham. Role words rather than names hold it together (Raph/George are the KBP burlesque); cross-work theme.",user_pending,724_00021;514_00033;365_00017;1071_00032;596_00015;683_00017;188_00004,,"sample review finds both social knighthood in courtship and romance adventure. The full peripheral Seven Champions chunk confirms a chivalric frame, but the shared substantive theme beyond rank remains uncertain. Keep pending. Reviewed excerpts (three different works): 606_00035; 672_00022; 1085_00019. Full-chunk follow-up: 1085_00019."
12,43,108,129,53226,44,12,"The Golden Age, or The Lives of Jupiter and Saturn",0.231,0.38,"The Golden Age, or The Lives of Jupiter  (25); The Arraignment of Paris (8); The Cobbler's Prophecy (8); Poetaster, or The Arraignment (5); Jupiter and Io (5)","Heywood, Thomas",0.324,classical legend or myth 31%; masque 23%; comedy 9%,Adult Professional;Professiona 40%; Occasional;Nonprofessional 27%,"*iupiter, *saturn, *iuno, *venus, gods, *mars, earth, *titan, love, fair","*venus, *iupiter, *saturn, *pallas, gods, heaven, *juno, divine, *danae, *vulcan","*venus, love, gods, *ioue, *pallas, *queen, *juno, *danae, behold, heaven","iupiter, saturn, iuno, venus, mars, titan, ioue, neptune, queen, crete, pallas, vulcan, juno, danae","[422_00031 — Poetaster, or The Arraignment (Jonson, Ben, 1602); comedy] Here daughter Venus, I drink to thee. Thank you, good Father Iupiter. Why, Mother Iuno! Gods and Fiends! what, wilt thou suffer this ocular Temptation? Mars is enraged; he looks big, and begins to stut, for anger. Well played, Captain Mars. Well said, Minstrel Momus: I must put you in? must I? When will you be in good fooling of yourself, fiddler? …

[81_00013 — Octavia (Seneca's Ninth Tragedy) (Seneca, Lucius AnnaeusNuce, ThomasPseudo-Seneca, 1566); tragedy] Your noble spouse, sprung forth of sainted peer, Of Claudius' stock, the starbright Diamond clear, That goddess Iuno wise her brother's bed Partaking, pressed down with buttocks red, Your graces princely court shall garnish gay, With wondrous heavenly fair descended stay. Incestuous married dames, from stock, and stem, Detract all hope, that we sho…

[139_00013 — The Arraignment of Paris (Peele, George, 1584); pastoral] To kill thy love with thy disdain. Cruel disdain so live thou named. Cruel disdain etc. And let me die of Iphis pain. A life to good for thy disdain. sith this my stars to me allot, And thou thy love hast all forgot. And thou etc. Now shepherds, bury Colin's corpse, perfume his hearse with flowers, And write what justice Venus did amid these woods …","The Olympian gods: Jupiter, Juno, Venus and Mars",thematic_discourse+recurring_role_or_name,included,"108 chunks, 44 works, Heywood's Golden Age 23 %, top three 38 %. The gods among themselves — Jupiter's rule, Juno's jealousy, Venus and Mars, Titans; Heywood's Ages, Peele, Jonson's Poetaster, pageants. The deities are shared mythological roles, not single-work names; T21 (Cupid, nymphs) is the love-side neighbour. Comparable, with the Golden Age share noted.",user_confirmed,687_00008;139_00003;238_00016;975_00004;824_00000;422_00031;719_00031,"Olympian gods: Jupiter, Juno, Venus and Mars",
17,32,108,113,53770,20,8,1 Tamburlaine the Great,0.222,0.546,"1 Tamburlaine the Great (24); The Wars of Cyrus, King of Persia (18); The Phoenix in Her Flames (17); 2 Tamburlaine the Great (13); The Four Prentices of London (8)","Marlowe, Christopher",0.343,tragedy 68%; not in BritDrama 16%; romance 13%,Adult Professional;Professiona 53%; Boys Professional;Professional 18%,"tamburlaine, *persian, *cyrus, king, *mahomet, arms, mighty, *assyrian, thousand, army","*cyrus, *mahomet, kings, *assyrian, soldan, *persia, *persian, *lord, brave, *prince","*cyrus, brave, *prince, soldan, *mahomet, kings, *christians, tamburlaine, honour, *lord","persian, cyrus, mahomet, assyrian, persia, lord, christians, prince, asia","[1120_00030 — The Phoenix in Her Flames (Lower, William, 1639); not in BritDrama] Thou durst as well Have eaten fire, as uttered these bold words, If 'twere not for the laws that are observed Between all Nations, that Ambassadors Be well entreated, this great privilege Hath brought forth this presumption; know yourself And how far you may go, else I shall be Though loath, a breaker of the ancient custom. Sir, I'm commanded not t…

[156_00001 — 1 Tamburlaine the Great (Marlowe, Christopher, 1590); tragedy] Then hear thy charge, valiant Theridama The chiefest Captain of Mycetes host, The hope of Persia, and the very legs Whereon our state doth lean, as on a staff, That holds us up, and foils our neighbour foes, Thou shalt be leader of this thousand horse, Whose foaming gall with rage and high disdain, Have sworn the death of wicked Tamburlaine. Go gro…

[156_00018 — 1 Tamburlaine the Great (Marlowe, Christopher, 1590); tragedy] Now shalt thou feel the force of Turkish arms, Which lately made all Europe quake for searc: I have of Turks, Arabians, Moores and Jews Enough to cover all Bithynia, Let thousands die, their slaughtered Carcases Shall serve for walls and bulwarks to the rest: And as the heads of Hydra, so my power Subdued, shall stand as mighty as before: If they s…","Eastern conquest: Persians, Turks and soldans",thematic_discourse+shared_narrative,included,"108 chunks, 20 works (8 with 3+), 1 Tamburlaine 22 %, top three 55 %. Conquest rhetoric of the East: Scythian, Persian and Turkish armies, Mahomet, soldans, Christians against Turks; Marlowe, Wars of Cyrus, Goffe's Turk plays, Alexander's Darius, Heywood's Four Prentices. A shared subject rather than one story, but three works hold over half — decide whether the concentration is acceptable.",user_confirmed,156_00020;250_00017;1120_00010;961_00049;751_00027;446_00004;751_00021,"Eastern conquest: Persians, Turks and soldans","sample review supports an eastern-conquest and military-authority core. The full peripheral Maidenhead sample concerns Sforza's siege and an ungrateful ruler, not an eastern setting. Include as a subject domain with this documented boundary case; assess dominant-work influence if used for a central finding. Reviewed excerpts (three different works): 1120_00030; 250_00019; 1019_00004. Full-chunk follow-up: 1019_00004."
16,55,108,114,53476,58,13,The Lady of Pleasure,0.12,0.204,"The Lady of Pleasure (13); The Ball (5); Cynthia's Revels, or The Fountain of Sel (4); The Scornful Lady (4); Every Man Out of His Humor (3)","Shirley, James",0.241,comedy 74%; tragicomedy 6%; tragedy 6%,Adult Professional;Professiona 50%; Boys Professional;Professional 28%,"*lady, madam, gentleman, *lordship, *ladies, honour, mistress, sweet, court, servant","*ladyship, *lady, gentlemen, madam, mistress, gentleman, servant, *ladies, *lordship, honour","*ladyship, gentleman, pray, servant, honour, fashion, mistress, madam, *lord, welcome","lady, lordship, ladies, lord, ladyship","[704_00017 — Epicene, or The Silent Woman (Jonson, Ben, 1616); comedy] judge you, forsooth. What say you, lady? speak out, I beseech you. judge you, forsooth. O'my judgement, a divine softness! but can you naturally, lady, as I enjoin these by doctrine & industry, refer yourself to the search of my judgement, and (not taking pleasure in your tongue, which is a woman's chiefest pleasure) think it plausible, to answer m…

[979_00021 — Holland's Leaguer (Marmion, Shackerley, 1632); comedy] Lady, you have those fair additions Of wealth, and parentage, joined to your virtues, That I may justly suspect your disdain: But by my hopes, I do not court your fortunes, But you. Believe me, no deserving man Shall be the less esteemed for that, where I find Ability to govern, what I bring him. 'tis that I value: things that are without me, I cou…

[1128_00025 — The Opportunity (Shirley, James, 1640); comedy] You are mistaken Sir, he means somebody else, I have been kicked already. Madam you let fall. Let it reward your pains. Observed you that. Convey this to Mercutio, it creates him Controller of our household, this I hope Will merit more of his acquaintance with Our Court. You honour your poor creatures. Leave us, You may stay Sir, what suit, what th…","Gallantry: ladies, lordships and compliment",thematic_discourse,included,"108 chunks, 58 works, Lady of Pleasure 12 %. Fashionable courtship and compliment — 'your Ladyship', 'his Lordship', servants and honour, dancing lessons, the court as a place of manners; Shirley, Jonson, Chapman, Nabbes. Cross-work theme; close to T0 and T14 in setting but about manners rather than power.",user_confirmed,1051_00007;1095_00017;413_00032;699_00004;1077_00002;1050_00013;701_00031,"Gallantry: ladies, lordships and compliment",
21,44,102,108,50099,40,7,Love's Metamorphosis,0.127,0.363,"Love's Metamorphosis (13); Amyntas, or The Impossible Dowry (13); Gallathea (11); Cynthia's Revels, or The Fountain of Sel (7); Sappho and Phao (6)","Lyly, John",0.304,comedy 35%; pastoral 25%; pastoral; comedy 13%,Boys Professional;Professional 60%; Adult Professional;Professiona 15%,"*cupid, *venus, love, *ceres, *diana, fair, nymphs, goddess, bow, *damon","goddess, *cupid, *venus, gods, love, loves, lovers, *damon, *ceres, *diana","goddess, *cupid, nymphs, thoughts, *ceres, chaste, *phao, love, *venus, arrows","cupid, venus, ceres, diana, damon, ladies, phao, erisychthon, urania, alexis, amyntas, cynthia","[179_00019 — Gallathea (Lyly, John, 1592); comedy] Let me alone I will find him somewhat to do. Lady, can you for pity see Cupid thus punished. Why did Cupid punish us without pity? Is love a punishment? It is no pastime. O Venus, if thou sawest Cupid as a captive, bound to obey that was wont to command, fearing ladies' threats, that once pierced their hearts, I cannot tell whether thou wouldest re…

[135_00025 — Sappho and Phao (Lyly, John, 1584); comedy] I marvel Cupid cometh not all this while. How now, in Sappho's lap? Yea Venus, what say you to it, in Sappho's lap. Sir boy, come hither? I will not. What now? will you not? hath Sapho made you so saucy? I will be Sappho's son, I have as you commanded stricken her with a deep disdain of Phao, and Phao as she entreated me, with a great despite of yo…

[409_00005 — Love's Metamorphosis (Lyly, John, 1601); pastoral; comedy] Yes Madam: To let men see, they that contend with the gods, do but confound themselves. But let us to the Temple of Cupid, and offer sacrifice; they that think it strange for chastity to humble itself to Cupid, know neither the power of love, nor the nature of virginity: th'one having absolute authority to command, the other difficulty to resist: a…","Cupid, Venus and the nymphs",thematic_discourse+recurring_role_or_name,included,"102 chunks, 40 works (7 with 3+), Love's Metamorphosis 13 %, top three 36 %. Love under the gods: Cupid, Venus, Ceres, Diana, nymphs and swains; Lyly, Randolph, Tasso, Fraunce, Phineas Fletcher. Mythological roles shared across works; the boys'-company and pastoral concentration is content, not a single play. Comparable; only 7 works have 3+ chunks.",user_confirmed,409_00019;1091_00036;179_00018;957_00018;910_00031;413_00000;165_00000,"Cupid, Venus and the nymphs",
19,17,97,109,46716,60,7,Old Fortunatus,0.124,0.237,"Old Fortunatus (12); The Muses' Looking Glass (6); The Contention between Liberality and Pr (5); Histriomastix, or The Player Whipped (4); Like Will to Like (Quoth the Devil to th (3)","Dekker, Thomas",0.165,moral 22%; civic play; pageant 21%; tragedy 13%,Occasional;Nonprofessional 32%; Adult Professional;Professiona 26%,"virtue, fortune, virtues, honour, fame, vice, envy, world, pride, great","virtues, virtue, virtuous, pride, glory, envy, honour, *god, grace, vice","virtues, envy, glory, *magistrate, pride, poor, *god, fortune, vice, love","magistrate, god","[433_00004 — The Contention between Liberality and Prodigality (Anonymous, 1602); moral] Report hath spread, that Virtue here in place Arrived is, her silly court to hold: And therefore I am come with faster pace, t''encounter her, whose countenance is so bold. I doubt not, but by this my pompous show, By vestures wrought with gold so gorgeously, By reverence done to me of high and low, By all these ornaments of bravery, By this my tra…

[1153_00014 — Sicily and Naples, or The Fatal Union (Harding, Samuel, 1640); not in BritDrama] ay, that to purchase fame, and idle breath, Could venture forth abroad into the world, And leave thee here a prey to ravenous wolves; Expose thee tender years of a weak virgin To labour 'gainst the furious tide of lust That has assaulted thee; that my low birth Should stand in need of such additions, To raise me to a height, might equal yours: That…

[364_00046 — Old Fortunatus (Dekker, Thomas, 1600); romance] She that hath conquers thee; how dar'st thou come, Thus tricked in gaudy Feathers, and thus guarded, Which crowned kings and Muses, when thy foe Hath trod thus on thee, and now triumphs so? Where's virtuous Ampedo? See, he's her slave, For following thee this recompense they have. Is Ampedo her stane? Why that's my glory. The idiot's cap I once wor…","Virtue, Fortune and Vice as abstractions",thematic_discourse,pending,"97 chunks, 60 works, Old Fortunatus 12 %. Moralising on Virtue, Fortune's wheel, Fame, Envy, Pride and Vice — personified abstractions and sententiae; interludes and pageants, but also Henry V (Fluellen on Fortune), Poetaster, Satiromastix. Cross-work theme.",user_pending,364_00044;1087_00034;433_00000;89_00014;371_00011;422_00038;444_00033,"Virtue, Fortune and Vice as abstractions",sample review confirms an allegorical core but finds courtship/alchemical salesmanship and praise of the wool trade at the boundary. Keep pending until a coherent moral or evaluative connection beyond shared elevated vocabulary is established. Reviewed excerpts (three different works): 433_00004; 701_00032; 1021_00002. Full-chunk follow-up: 701_00032.
22,5,96,98,47796,31,8,The Faithful Shepherdess,0.281,0.438,The Faithful Shepherdess (27); Mucedorus (and Amadine) (8); As You Like It (7); The School of Compliment (Love Tricks) (5); Love's Riddle (5),"Fletcher, John",0.281,pastoral; tragicomedy 28%; comedy 22%; pastoral 15%,Adult Professional;Professiona 30%; Boys Professional;Professional 28%,"shepherd, pan, shepherds, love, sheep, flocks, fair, shepherdess, swain, away","shepherds, shepherd, shepherdess, sheep, *amadine, love, swain, pan, flock, bear","shepherds, love, swain, *amadine, gentle, holy, bear, *apollo, woods, pan","selina, amadine, segasto, apollo","[675_00005 — The Faithful Shepherdess (Fletcher, John, 1610); pastoral; tragicomedy] Of smooth Lyeus, whose nigh starved flocks Are always scabby, and infect all sheep They feed withal, whose lambs are ever last, And die before their weaning, and whose dog, Looks like his Master, lean, and full of scurf, Not caring for the pipe or whistle: this man may (If he be well wrought) do a deed of wonder, Forcing me passage to my long desir…

[675_00012 — The Faithful Shepherdess (Fletcher, John, 1610); pastoral; tragicomedy] I do not love this wench that I should meet, For never did my unconstant eye yet greet That beauty, were it sweeter or more fair, Than the new blossoms, when the morning air Blows gently on them, or the breaking light, When many maiden blushes to our sight Shoots from his early face: were all these set In some neat form before me, 'twould not get T…

[675_00018 — The Faithful Shepherdess (Fletcher, John, 1610); pastoral; tragicomedy] Fairest Shepherdess, Come you with me, I do not love ye less Than that fond man that would have kept you there From me of more desert. O yet forbear To take her from me, give me leave to die By her. Now whilst theme one doth rule the sky, And the stars, whose feeble light Give a pale shadow to the night, Are up, great Pan commanded me To walk this …","Shepherds, flocks and Pan",thematic_discourse,included,"96 chunks, 31 works, Faithful Shepherdess 28 %, top three 44 %. The shepherd's world: flocks, swains, Pan, the shepherdess, woods; Fletcher, Mucedorus, As You Like It, Shirley, Heywood, entertainments. Cross-work, but one play holds over a quarter — note the share when a genre result rests on this topic.",user_confirmed,675_00038;319_00018;868_00034;200_00000;954_00015;1063_00009;964_00006,"Shepherds, flocks and Pan",
18,58,96,113,47550,25,9,The Valiant Scot,0.208,0.448,The Valiant Scot (20); 1 Edward the Fourth (13); Edward the Second (10); Jack Straw (8); The True Tragedy of Richard the Third (6),"W., J.",0.208,history 76%; tragedy 8%; tragedy; history 8%,Adult Professional;Professiona 94%; University/Inns of Court;Nonpr 2%,"king, *lord, *wallace, *earl, *edward, *england, *scotland, rebels, *bruce, *english","rebellion, *earl, *lord, rebel, *mortimer, honour, *edward, brave, traitor, *gaveston","rebellion, *scotland, *earl, *lord, *gaveston, honour, *mortimer, brave, death, *english","lord, wallace, earl, edward, england, scotland, bruce, english, gaveston, falconbridge, maior, mortimer","[245_00023 — Edward the Second (Marlowe, Christopher, 1594); history] 'tis not amiss my liege for either part, To breath a while, our men with sweat and dust All choked well near, begin to faint for heat, And this retire refresheth horse and man. Here come the rebels. Look Lancaster, yonder is Edward among his flatterers. And there let him be, till he pay dearly for their company. And shall or Warwick's sword shall s…

[242_00029 — The True Tragedy of Richard the Third (Anonymous, 1594); tragedy; history] Messenger stay, hath Blunt betrayed, doth Oxford rebel and aid the Earl Richmond, may this be true, what is our prison so weak, our friends so fickle, our Ports so ill looked too, that they may pass and repass the seas at their pleasures, than every one conspires, spoils our Conflex, conqueres our Castles, and Arms themselves with their own weapons…

[245_00022 — Edward the Second (Marlowe, Christopher, 1594); history] O shall I speak, or shall I sigh and die! My lord, refer your vengeance to the sword, Upon these Barons, hearten up your men, Let them not unrevenged murder your friends, Advance your standard Edward in the field, And march to sire them from their starting holes. By earth, the common mother of us all, By heaven, and all the moving orbs thereof, By …","Rebels, barons and the king's wars at home",thematic_discourse+shared_narrative,included,"96 chunks, 25 works (9 with 3+), Valiant Scot 21 %, top three 45 %. Rebellion and civil war within Britain: rebels, traitors, barons against the king, Scotland and England, drums and standards; Valiant Scot, Heywood's Edward IV, Edward II, Gorboduc, Jack Straw, also Chapman's Bussy plays. Historical matter shared by many plays; neighbour of T10 (France) and T43 (York/Lancaster).",user_confirmed,1053_00028;345_00007;245_00022;68_00023;579_00038;710_00020;207_00002,"Rebels, barons and the king's wars at home",
15,0,93,118,45729,26,11,Measure for Measure,0.14,0.376,Measure for Measure (13); Edward the First (12); Friar Bacon and Friar Bongay (10); A New Trick to Cheat the Devil (8); Romeo and Juliet (7),"Peele, George",0.14,comedy 41%; tragedy 20%; history 19%,Adult Professional;Professiona 94%; Boys Professional;Professional 3%,"friar, *lord, holy, friars, *robin, *peggy, *lacie, *angelo, love, *nun","friars, friar, *romeo, *angelo, maid, *margaret, *prince, *duke, *iohn, king","friars, *prince, night, love, maid, *claudio, *romeo, father, *iohn, *margaret","lord, robin, peggy, lacie, angelo, nun, claudio, romeo, prince, duke, iohn, margaret, bacon","[998_00025 — The Jew of Malta (Marlowe, Christopher, 1633); tragedy] You hear your answer, and you may be gone. Why go get you away. I will not go for thee. Not, then I'll make thee go. How, dost call me rogue? Part 'em, master, part 'em. This is mere frailty, brethren, be content. friar Barnardine go you with Ithimore. You know my mind, let me alone with him; Why does he go to thy house, let him begone. I'll give h…

[203_00005 — Edward the First (Peele, George, 1593); history] True man, true Friar, true priest, & true knave, These four in one this trull shall have, Here swear I by my shaven crown, Wench if I give thee a gay green gown, I'll take thee up as I laid thee down, And never bruise nor batter thee. O swear not master, flesh is frail, Wench when the sign is in the tail, Mighty is love and will prevail, This Churc…

[203_00021 — Edward the First (Peele, George, 1593); history] O mistress out it goes. Look what comes next the Friar throes. Such a sitting whoever saw, An eagle's bird of a Jack daw. So Sir is this all? Sweet heart here's no more. How now good fellow more indeed, By one then was before. How now the devil in steed of a ditty. friar a ditty come late from the city. To ask some pity of this lass so pretty: Some…",Friars and holy orders in the plot,thematic_discourse+recurring_role_or_name,included,"93 chunks, 26 works (11 with 3+), Measure for Measure 14 %, top three 38 %. Friars, priors and nuns as agents of the action: friars who marry lovers in secret, conjure, carry messages or plot murder; Shakespeare, Peele, Greene, Marlowe (Jew of Malta, Massacre), the Robin Hood plays, Davenport. The role holds it together, not one story; comparable across works.",user_confirmed,864_00039;203_00028;232_00012;1110_00013;998_00020;411_00007;260_00017,Friars and holy orders in plot,
