map_version,unit_id,tcp,source_sha256,unit_node_path,parent_unit,kind,div_type,div_paths_present,head,n_sp,n_chars_candidate,trailer_text,act_heads,text_first160,text_last160,old_id,old_id_aliases,deep_id,work_key(work_id),witness_key(edition_id),title_deep,author_deep,genre_deep,play_type_deep,year_deep,metadata_repaired,edition_id_corrected,deep_id_corrected,year_corrected,edition_correction_source,edition_record_states,edition_id_effective,deep_id_effective,year_effective,edition_effective_basis,metadata_added_from,tcp_header_date_raw,tcp_source_publication_date_raw,edition_status,match_method,match_score,candidates,identity_status,relation,inclusion_status,witness_role,witness_selection,witness_selection_status,year_effective_raw,reason
unit_map-2026-09-08.v16,A00969,A00969,9dacc606c526b1911543f75405105e8cdad02c26c6a2772048570598734243f2,/*/*[2]/*[2],,single,,scene,The Two Noble Kinsmen.,833,117587,,"act:Actus Primus. | scene:Scaena 2. Enter Palamon, and Arcite. | scene:Scaena 3. E •… ter Pirithous, Hipolita,  | scene:Scaena 4. A Battaile strooke withi •… Th","ROses their sharpe spines being gon,",And beare us like the time:,A00969,,835,492,1018,The Two Noble Kinsmen,"Shakespeare, WilliamFletcher, John",tragicomedy,Adult Professional;Professional,1634,False,,,,,,1018,835,1634,original DEEP row,,1634,1634.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1634,
unit_map-2026-09-08.v16,A00979,A00979,d0474a444590c4dab37911ae1acc18f402aacf159c68e502f7f8907148f004de,/*/*[2]/*[2],,single,,epilogue;scene,"SICELIDES,",699,108648,Finis Actus Primi. || FINIS.,act:Act. 1. | scene:Scen. 1. | scene:Scen. 2. | scene:Scen. 3.,"CVma! beare home our spoyles, and conquering weapons,","So wih we you, what you may giue vs: Rest.",A00979,,768,443,957,Sicelides (The Sicilians),"Fletcher, Phineas",pastoral,University/Inns of Court;Nonprofessional,1631,False,,,,,,957,768,1631,original DEEP row,,1631,1631.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1631,
unit_map-2026-09-08.v16,A01046,A01046,fdad1e374cc2b90707332d007231e042e2600d426e16711b7bb6920dc50cdbce,/*/*[2]/*[2],,single,,scene;song,THE BROKEN HEART.,823,101542,FINIS.,"act:Actus primus, | scene:Scaena prima. | scene:Flourish. Scaene 2. | scene:Scaene 3.","DAlly not further, I will know the reason",Till men can call th' effects of them their owne,A01046,,817,480,1003,The Broken Heart,"Ford, John",tragedy,Professional;Adult Professional,1633,True,,,,,,1003,817,1633,original DEEP row,,1633,1633.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1633,
unit_map-2026-09-08.v16,A01049,A01049,d704384e8400f269672bd2bdc2021cf22b1809d0ba9af3011fa71e96a0bf19eb,/*/*[2]/*[2],,single,,act,ACT. I.,821,97486,FINIS.,act:ACT. I. | act:Actus II. | act:Actus III. | act:ACT. IIII.,"DOe, doe, be wilfull, desperate, 'tis manly,",Great men may be mistooke when they meane best.,A01049,,883,532,1067,The Fancies Chaste and Noble,"Ford, John",comedy,Professional;Adult Professional,1638,True,,,,,,1067,883,1638,original DEEP row,,1638,1638.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1638,
unit_map-2026-09-08.v16,A01052,A01052,345c4872c9732abb54dcbe3d9859ec4da3ccf8303b37c3de36320d807be88511,/*/*[2]/*[2],,single,,act;epilogue;prologue,PROLOGVE.,734,92229,Mr. Bird.,prologue:PROLOGVE. | act:THE LADIES TRIALL. | act:Actus Secundus. | act:Actus tertius.,"LAnguage and matter, with a fit of mirth,",We will expect a gentle day.,A01052,,918,555,1101,The Lady's Trial,"Ford, John",not in BritDrama,Professional;Boys Professional,1639,True,,,,,,1101,918,1639,original DEEP row,,1639,1639.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1639,
unit_map-2026-09-08.v16,A01055,A01055,873d8dc1359ac8f44f680397bda2c4d9fd6e6d932b94e1e1e27e7c4e673c30bc,/*/*[2]/*[2],,single,,act_and_scene,THE LOVERS MELANCHOLY.,801,96690,Finis Actus Primi. || Finis Actus secundi. || FINIS.,,DAngers? How meane you dangers? that so courtly,Whom Fate in spite of stormes hath kept aliue.,A01055,,734,420,914,The Lover's Melancholy,"Ford, John",tragicomedy,Adult Professional;Professional,1629,True,,,,,,914,734,1629,original DEEP row,,1629,1629.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1629,
unit_map-2026-09-08.v16,A01056,A01056,d3509474cfb649c53b70fad5bccd53e0e6eb2d2eb8ba47a617833e26b6b55a4d,/*/*[2]/*[2],,single,,act,Loues Sacrifice.,787,107067,FINIS.,act:Actus Primus. | act:Actus Secundus. | act:Actus Tertius. | act:Actus Quartus.,DEpart the Court.,That euer here befell a sadder day.—,A01056,,815,478,1001,Love's Sacrifice,"Ford, John",tragedy,Professional;Adult Professional,1633,True,,,,,,1001,815,1633,original DEEP row,,1633,1633.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1633,
unit_map-2026-09-08.v16,B01146,B01146,e80ae7b19cb946fcabf294dea242c0977119af0dc191b4f9546496e746f1006b,/*/*[2]/*[2],,single,,part;text,The firſt.,6,17363,FJNJS.,part:The firſt. | part:Oceanus his Specch. | part:The ſecond Preſentation. | part:The third.,"WEre it poſſible for a Man, in the Compaſſe of a Day, to behold (as the Sunne does) All the Citties in the World, as if he went with Walking Beames about him; T"," one another (euery Company in their degree) in a Stately and Maieſticall order. This being the Inuention of a Noble Citizen, one of the Captaines of the Citty.",B01146,,736,421,915,"London's Tempe, or The Field of Happiness","Dekker, Thomas",civic play; pageant,Occasional;Nonprofessional,1629,False,,,,,,915,736,1629,original DEEP row,,1629,1629],ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1629,
unit_map-2026-09-08.v16,A01227.1,A01227,fe54a3ec900e0349e80b503ef53e31a59a27a69d8285876b4d1c84ed10c92a2c,/*/*[2]/*[2]/*[1],A01227,body_div,part,prologue;scene,Amyntas Pastorall. The first part of the Countesse of Pembrokes Yuychurch.,221,83255,FINIS.,"part:Amyntas Pastorall. The first part of the | prologue:The Prologue by Cupid in a Shepheards cl | scene:The first Act, and first Scene, | scene:The second Scene.","WHo would thinke that a God lay lurking vnder a gray cloake,","Warres, and warres, as peace and truce may end in a moment.",A01227.1,,5020.01,97,165,Phillis and Amyntas (Ivychurch) (Amyntas' Pastoral),"Fraunce, AbrahamTasso, Torquato",pastoral,Translation;Nonprofessional;Closet/Unacted,1591,False,,,,,,165,5020.01,1591,original DEEP row,,1591,1591.,ok,manual,1.0,,confirmed_manual,component,proposed,,,,1591,OVERRIDE: Fraunce 1591 'Amyntas Pastorall. The first part of the Countesse of Pembrokes Yuychurch' - first part of the one DEEP work (5024.01) - component
unit_map-2026-09-08.v16,A01227.2,A01227,fe54a3ec900e0349e80b503ef53e31a59a27a69d8285876b4d1c84ed10c92a2c,/*/*[2]/*[2]/*[2],A01227,body_div,part,day,Phillis Funerall. The second part of the Countesse of Pembrokes Yuychurch.,0,68539,FINIS.,part:Phillis Funerall. The second part of the,NOw bonylasse Phillis was newly betroathd to Amyntas,"Cal'd this, Amyntas Dale, for a name and same to Amyntas.",A01227.1,,5020.01,97,165,Phillis and Amyntas (Ivychurch) (Amyntas' Pastoral),"Fraunce, AbrahamTasso, Torquato",pastoral,Translation;Nonprofessional;Closet/Unacted,1591,False,,,,,,165,5020.01,1591,original DEEP row,,1591,1591.,ok,manual,1.0,,confirmed_manual,component,proposed,,,,1591,"OVERRIDE: 'Phillis Funerall. The second part of the Countesse of Pembrokes Yuychurch' (pastoral, no <sp>) - second part of the same DEEP work - component; outside-<sp> text is function-audited"
unit_map-2026-09-08.v16,A01227.3,A01227,fe54a3ec900e0349e80b503ef53e31a59a27a69d8285876b4d1c84ed10c92a2c,/*/*[2]/*[2]/*[3],A01227,body_div,poem,poem,"The Lamentation of Corydon, for the loue of Alexis, verse for verse out of Latine.",0,4251,FINIS.,,SIlly Shepherd Corydon lou'd hartyly fayre lad Alexis,"Thou shalt finde others, though th'art disdaign'd of Alexis.",,,,,,,,,,,,,,,,,,,,,,1591,1591.,n.a.,none,0,,confirmed_auto,primary,excluded_proposed,,,,,non-dramatic division (structure)
unit_map-2026-09-08.v16,A01227.4,A01227,fe54a3ec900e0349e80b503ef53e31a59a27a69d8285876b4d1c84ed10c92a2c,/*/*[2]/*[2]/*[4],A01227,body_div,poem,poem,The beginning of Heliodorus his Aethiopical History.,0,13552,"Carmen amat, quisquis carmine digna gerit. || FINIS.",,ASsoone as Sun-beames could once peepe out fro the mountayne,"When to the Poole with spoyles, &c.",,,,,,,,,,,,,,,,,,,,,,1591,1591.,n.a.,none,0,,confirmed_auto,primary,excluded_proposed,,,,,non-dramatic division (structure)
unit_map-2026-09-08.v16,A01253,A01253,25235dfa094f6e30017f733471d36751862e6f04a2b18465f444864adc8ff445,/*/*[2]/*[2],,single,,scene,Actus Primus.,351,76721,,act:Actus Primus. | scene:Scena Prima. | scene:Actus Primus. Scena Secunda. | scene:Actus Primus. Scena Tertia.,"TIs true Moloſſo, fortune hath prepar'd","Springs from our ſelves, ſt which ther's no defence",A01253,,924,560,1106,Imperiale,"Freeman, Ralph",not in BritDrama,Closet/Unacted;Nonprofessional,1639,False,,,,,,1106,924,1639,original DEEP row,,1639,M.DC.XXXIX. [1639],ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1639,
unit_map-2026-09-08.v16,A01353,A01353,f60f4be9fab6ba7dda628fe22aed0c5e29738fec1bce4d5d4d6a9222b290b318,/*/*[2]/*[2],,single,,song;text,"The Song,",318,53813,Finis. || FINIS. || AMEN.,,"¶ Ha, ha, ha, ha, now like vn to like it wil be none other,",that at the last in Heauen with thee they may haue a place.,A01353,,78,50,89,Like Will to Like (Quoth the Devil to the Collier),"Fulwell, Ulpian",moral,Interlude;Nonprofessional,1587,False,,,,,,89,78,1587,original DEEP row,,1587,1587.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1587,
unit_map-2026-09-08.v16,A01424,A01424,7685bc07bf9763745ac3515d5093bbabc8ef6ca97fd46ef6113292a1eb5ae2bc,/*/*[2]/*[2],,single,,dialogue,"WINE, BEERE, and ALE, TOGETHER BY THE EARES:",210,25292,FINIS.,,N Ʋutmegge?,"Luſtily, make a merry day on't; nay, leaue out none, at Dancing and Foot-ball, all fellowes.",A01424,,745,426,923,"Wine, Beer, and Ale Together by the Ears (Wine, Beer, Ale, and Tobacco Contending for Superiority)",Anonymous,dialogue,University/Inns of Court;Nonprofessional,1629,False,,,,,,923,745,1629,original DEEP row,,1629,1629.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1629,
unit_map-2026-09-08.v16,A01425,A01425,927c6d9548c88b5bb63f350668127de036541c67b32313c03fd7216cba360135,/*/*[2]/*[2],,single,,dialogue,"VVINE, BEERE, ALE, and TOBACCO, Contending for Superiority.",284,32336,FINIS.,,NVtmegge?,"W. B. A. and when wee falsifie, may thunders shrike vs dead.",A01425,,746,426,924,"Wine, Beer, and Ale Together by the Ears (Wine, Beer, Ale, and Tobacco Contending for Superiority)",Anonymous,dialogue,University/Inns of Court;Nonprofessional,1630,False,,,,,,924,746,1630,original DEEP row,,1630,1630.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1630,
unit_map-2026-09-08.v16,A01500,A01500,35388f2dbfa3393875fbe2c48621573b090e64e48265fcfea45b13b1003808cf,/*/*[2]/*[2],,single,,act,CORNELIA.,198,84294,Tho: Kyd.,act:ACTVS. PRIMVS. | act:ACTVS SECVNDVS. | act:ACTVS TERTIVS. | act:ACTVS QVARTVS.,"VOuchsafe Immortals, and (aboue the rest)",Encrease the number of the ghosts be-low.,A01500,,169,116,210,Cornelia (Pompey the Great His Fair Cornelia's Tragedy),"Garnier, RobertKyd, Thomas",tragedy,Translation;Nonprofessional;Closet/Unacted,1594,False,,,,,,210,169,1594,original DEEP row,,1594,1594.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1594,
unit_map-2026-09-08.v16,A01502,A01502,60c969a7f55eeb12fcc1bdc9becd623fffb2ebe170afe1c3a57ddacceb0314b7,/*/*[2]/*[2],,single,,act,ANTONIVS,189,78450,At Rams bury. 26. of Nouember. 1590.,"act:ANTONIVS | act:Act. 2. | act:Act. 4 | act:Act. 5,","SInce cruell Heau'ns against me obstinate,","Fainting on you, and fourth my soule may flow.",A01502,,146,108,187,Antonius (Antony),"Herbert, Mary SidneyGarnier, RobertSidney Herbert, Mary",tragedy,Translation;Nonprofessional;Closet/Unacted,1595,False,,,,,,187,146,1595,original DEEP row,,1595,1595.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1595,
unit_map-2026-09-08.v16,A01506,A01506,e4a56dd9a99cfc52b3868be34bf482d0d6d7f94bcfbb55b4c2b3a7f7c0d6f9f0,/*/*[2]/*[2],,single,,account;dialogue;inscription;masque;oration;pageant;part;poem;song;speech;translation,¶The first Pageante was in Saint Stephens Parish in this manner.,23,85284,"B. G. || FINIS. || B. G. || FINIS. || B. G. || FINIS. || B. G. || Finis. || B. G. || FINIS. || B. G. || FINIS. || B. G. || Finis || Goldingham. || FINIS. || B. G. and spoken by himselfe, to whome hir Maiestie saide: VVe thanke you hartily. || FINIS. || B. G. || FINIS. || Stephani Limberti Carmen. ||",part:Eiusdem. | part:By the same.,ON Saturday being the. xvj. of August. 1578. and in the twentith yéere of the raigne of our most gratious soueraign Lady Elizabeth by the grace of God Quéen of ,"Attribuet longos, optatae Principis Annos.",A01506,,104,75,126,The Entertainment at Norwich (Royal Entry of Queen Elizabeth),"Garter, BernardGoldingham, William",entertainment; royal entertainment or entry,Occasional;Nonprofessional,1578,False,,,,,,126,104,1578,original DEEP row,,1578,[1578],ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1578,
unit_map-2026-09-08.v16,A01509,A01509,9940408f70039a47403b2c8682e6775b408ea87266d7e3ca86e28273b7b9f598,/*/*[2]/*[2],,single,,play;prologue,¶The Prologue.,317,73098,FINIS.,prologue:¶The Prologue.,"BOnum opus laudabila, which is as much to say,",Who graunt vs all eternall lyfe. Amen now say you all.,A01509,,107,76.5,129,The Most Virtuous and Godly Susanna,"Garter, Thomas",moral,Interlude;Nonprofessional,1578,False,,,,,,129,107,1578,original DEEP row,,1578,1578.,ok,tcp_1to1,1.0,,confirmed_auto,primary,proposed,,,,1578,
unit_map-2026-09-08.v16,A01513.1,A01513,3a7613ab438a03ce3dfaba673a0d04e3ebd93f3080c4cc5f1edb24997330ee94,/*/*[2]/*[2]/*[1],A01513,body_div,play,prologue;scene,"SVPPOSES: A Comedie written in the Italian tongue by Ariosto, and Englished by George Gascoygne of Grayes Inne Esquire, ",676,92346,Finis Actus. 1. || Finis. Actus. 2. || Finis. Actus. 3. || Finis Actus. 4. || FINIS.,prologue:The Prologue or argument. | act:Supposes. | scene:Scena. j. | scene:Scena. ij.,"I Suppose you are assembled here, supposing to reape the fruite of my trauayles: and to be playne, I meane presently to presente you vvith a Comedie called Supp","le. Nobles and gentlemen, if you suppose that our supposes haue giuen you sufficient cause of delighte, shewe some token, wherby we may suppose you are content.",A01513.1,,5006.01,60,103,Supposes,"Gascoigne, GeorgeAriosto, Ludovico",comedy,Translation;Nonprofessional;University/Inns of Court,1573,False,,,,,,103,5006.01,1573,original DEEP row,,1573,[1573],ok,manual,1.0,,confirmed_manual,primary,proposed,,,,1573,OVERRIDE: head 'SVPPOSES: A Comedie written in the Italian tongue by Ariosto' = Supposes 1573 (DEEP 5006.01)
unit_map-2026-09-08.v16,A01513.2,A01513,3a7613ab438a03ce3dfaba673a0d04e3ebd93f3080c4cc5f1edb24997330ee94,/*/*[2]/*[2]/*[2],A01513,body_div,play,argument;epilogue;part;scene,"IOCASTA: A Tragedie vvritten in Greke by Euripides, translated and digested into Acte by George Gascoygne, and Francis K",480,125365,"Finis Actus primi▪ || Finis Actus secundi. || Finis Actus tertij. || Finis Actus quarti. || Finis Actus quinti. || Finis Epilogi,",part:¶The order of the dumme shewes and Music | act:The first Acte. | scene:The first Scene▪ | part:Thorder of the seconde dumbe shevve.,"To scourge the cryme of vvicked Laius,",When better state in baser Towers rests?,A01513.2,,5006.02,61,106,Jocasta,"Gascoigne, GeorgeKinwelmershe, FrancisYelverton, ChristopherEuripidesDolce, Lodovico",tragedy,Translation;Nonprofessional;University/Inns of Court,1573,False,,,,,,106,5006.02,1573,original DEEP row,,1573,[1573],ok,manual,1.0,,confirmed_manual,primary,proposed,,,,1573,OVERRIDE: head 'IOCASTA: A Tragedie vvritten in Greke by Euripides' = Jocasta 1573 (DEEP 5006.02)
unit_map-2026-09-08.v16,A01513.3,A01513,3a7613ab438a03ce3dfaba673a0d04e3ebd93f3080c4cc5f1edb24997330ee94,/*/*[2]/*[2]/*[3],A01513,body_div,colophon,colophon,,0,46,,,Printed by Henrie Bynneman for Richarde Smith.,Printed by Henrie Bynneman for Richarde Smith.,,,,,,,,,,,,,,,,,,,,,,1573,[1573],n.a.,none,0,,confirmed_auto,primary,excluded_proposed,,,,,non-dramatic division (structure)
unit_map-2026-09-08.v16,A01513.4,A01513,3a7613ab438a03ce3dfaba673a0d04e3ebd93f3080c4cc5f1edb24997330ee94,/*/*[2]/*[2]/*[4],A01513,body_div,letters,letters,A discourse of the aduentures passed by Master F. I.,0,168150,from my Chamber this tenth of August. 1572. Youres or not his owne. G. T. || More youres than his owne. F. I. || F. I. || S H E. || HE. F.I. || Tyll then and euer. HE. F. I. || Euen HE F. I. || F. I. || F. I. || F. I. || F.I. || F. I. || SHE. || F.I. || F. I. || F.I.,,"IN August last passed my familiar friend Master G. T. bestowed vppon me y• reading of a written Booke, wherin he had collected diuers discourses & verses, inuen",G. T.,,,,,,,,,,,,,,,,,,,,,,1573,[1573],n.a.,none,0,,confirmed_auto,primary,excluded_proposed,,,,,non-dramatic division (structure)
unit_map-2026-09-08.v16,A01513.5,A01513,3a7613ab438a03ce3dfaba673a0d04e3ebd93f3080c4cc5f1edb24997330ee94,/*/*[2]/*[2]/*[5],A01513,body_div,poem,poem,A translation of Ariosto allegorized.,0,2097,Si fortunatus infoelix.,,"WHen worthy Bradamant, had looked long in vain.","There is no hap shal hold me backe, good will shal roon so fast.",,,,,,,,,,,,,,,,,,,,,,1573,[1573],n.a.,none,0,,confirmed_auto,primary,excluded_proposed,,,,,non-dramatic division (structure)
