work_id,title,edition_id,year,tcp_unit,words,chunks,missing_gaps,chosen,policy,basis
121,Friar Bacon and Friar Bongay,232,1594,A02127,15779,32,,Y,earliest dated edition (Kim 2026 default policy),
121,Friar Bacon and Friar Bongay,233,1630,A02128,16240,33,,,,
132,Cleopatra,251,1594,A19816.3,12988,26,,Y,earliest dated edition (Kim 2026 default policy),
132,Cleopatra,254,1599,A19834.4,13123,27,,,,
138,3 Henry the Sixth (The True Tragedy of Richard Duke of York and the Go,265,1595,A10726,16602,34,,,,
138,3 Henry the Sixth (The True Tragedy of Richard Duke of York and the Go,268,1623,A11954.22,23306,47,,Y,override: New Oxford Shakespeare MCE base text,MCE base = Folio (NOS MCE; canonical_editions.json)
141,Richard the Second,273,1597,A11994,20546,41,,Y,earliest dated edition (Kim 2026 default policy),
141,Richard the Second,278,1623,A11954.16,21392,43,,,,
142,Richard the Third,281,1597,A12001,26769,54,,,,
142,Richard the Third,287,1623,A11954.23,28137,56,,Y,override: New Oxford Shakespeare MCE base text,MCE base = Folio (NOS MCE; canonical_editions.json)
143,Romeo and Juliet,291,1597,A12010,17394,35,,,,
143,Romeo and Juliet,294,1623,A11954.28,23837,48,,Y,override: New Oxford Shakespeare MCE base text,MCE base Q2 1599 absent; Folio descends from Q2 (NOS MCE; canonical_editions.json)
145,1 Henry the Fourth,300,1598,A11966,24115,49,,Y,earliest dated edition (Kim 2026 default policy),
145,1 Henry the Fourth,306,1623,A11954.17,23849,48,,,,
150,Love's Labor's Lost,315,1598,A68726,18245,37,,Y,earliest dated edition (Kim 2026 default policy),
150,Love's Labor's Lost,316,1623,A11954.7,20987,42,,,,
163,Every Man Out of His Humor,365,1600,A04648,36739,74,,Y,earliest dated edition (Kim 2026 default policy),
163,Every Man Out of His Humor,368,1616,A04632.2,36230,74,,,,
165,Henry the Fifth,371,1600,A11975,12250,25,,Y,earliest dated edition (Kim 2026 default policy),
165,Henry the Fifth,374,1623,A11954.19,25571,51,,,,
167,2 Henry the Fourth,378,1600,A11974,23556,47,,Y,earliest dated edition (Kim 2026 default policy),
167,2 Henry the Fourth,379,1623,A11954.18,25261,51,,,,
168,Much Ado About Nothing,381,1600,A11991,20857,42,,Y,earliest dated edition (Kim 2026 default policy),
168,Much Ado About Nothing,382,1623,A11954.6,20747,42,,,,
170,A Midsummer Night's Dream,385,1600,A11989,16183,33,,Y,earliest dated edition (Kim 2026 default policy),
170,A Midsummer Night's Dream,387,1623,A11954.8,16086,33,,,,
172,The Merchant of Venice (The Jew of Venice),391,1600,A68727,19281,39,,Y,earliest dated edition (Kim 2026 default policy),
172,The Merchant of Venice (The Jew of Venice),392,1619,A11981,20926,43,,,,
172,The Merchant of Venice (The Jew of Venice),393,1623,A11954.9,20753,42,,,,
176,Every Man in His Humor,404,1601,A04647,25456,52,,Y,earliest dated edition (Kim 2026 default policy),
176,Every Man in His Humor,405,1616,A04632.1,26098,53,,,,
186,"Poetaster, or The Arraignment",422,1602,B14290,24739,50,,Y,earliest dated edition (Kim 2026 default policy),
186,"Poetaster, or The Arraignment",423,1616,A04632.4,28146,57,,,,
187,The Merry Wives of Windsor,425,1602,A11983,11253,23,,,,
187,The Merry Wives of Windsor,427,1623,A11954.3,20959,42,,Y,override: New Oxford Shakespeare MCE base text,MCE base = Folio (NOS MCE; canonical_editions.json)
187,The Merry Wives of Windsor,428,1630,A11988,20940,42,,,,
189,Thomas Lord Cromwell,431,1602,A11265,13098,26,A11265=1,Y,earliest dated edition (Kim 2026 default policy),
189,Thomas Lord Cromwell,432,1613,A11267,13841,28,,,,
196,Darius,446,1604,A16527.2,17149,34,,Y,earliest dated edition (Kim 2026 default policy),
196,Darius,448,1637,A16564.2,17480,35,,,,
197,"Hamlet, Prince of Denmark",449,1603,A11959,16095,32,,,,
197,"Hamlet, Prince of Denmark",453,1623,A11954.32,27817,55,,Y,override: New Oxford Shakespeare MCE base text,"MCE base Q2 absent; Folio = nearest witness (NOS MCE; Kim, canonical_editions.json)"
200,The Coronation Triumph (The Royal Entry of King James I into London),459,1604,A04637.1,2085,4,,Y,earliest dated edition (Kim 2026 default policy),
200,The Coronation Triumph (The Royal Entry of King James I into London),460,1616,A04632.11,1078,2,A04632.11=6,,,
201,The Royal Entertainment of the Queen and Prince at Althorp (The Satyr),462,1604,A04637.3,1976,4,,Y,earliest dated edition (Kim 2026 default policy),
201,The Royal Entertainment of the Queen and Prince at Althorp (The Satyr),463,1616,A04632.13.0,1593,3,,,,
203,The Malcontent,468,1604,A07071,14226,28,,Y,earliest dated edition (Kim 2026 default policy),same year as the next edition — lowest edition id taken; check
203,The Malcontent,470,1604,A07074,19161,38,,,,
207,The Vision of the Twelve Goddesses (The Masque at Hampton Court),486,1604,A19837,1458,3,,Y,earliest dated edition (Kim 2026 default policy),same year as the next edition — lowest edition id taken; check
207,The Vision of the Twelve Goddesses (The Masque at Hampton Court),487,1604,A19838,1485,3,,,,
209,Croesus,491,1604,A16527.1,22613,46,,Y,earliest dated edition (Kim 2026 default policy),
209,Croesus,493,1637,A16564.1,22995,46,,,,
235,The Isle of Gulls,555,1606,A19976,20980,42,,Y,earliest dated edition (Kim 2026 default policy),
235,The Isle of Gulls,556,1633,A69188.1,21615,43,,,,
237,"Hymenaei, or the Solemnities of Masque and Barriers at a Marriage (Tru",558,1606,A04654,4034,8,,Y,earliest dated edition (Kim 2026 default policy),
237,"Hymenaei, or the Solemnities of Masque and Barriers at a Marriage (Tru",559,1616,A04632.14.3,2026,4,A04632.14.3=10,,,
260,The Alexandraean Tragedy,608,1607,A16527.3,26573,54,,Y,earliest dated edition (Kim 2026 default policy),
260,The Alexandraean Tragedy,610,1637,A16564.3,26920,54,,,,
261,Julius Caesar,611,1607,A16527.4,24464,49,,Y,earliest dated edition (Kim 2026 default policy),
261,Julius Caesar,613,1637,A16564.4,24700,50,,,,
265,King Lear,623,1608,A11978,24385,49,,Y,override: New Oxford Shakespeare MCE base text,MCE base = Q1 1608 (NOS MCE; canonical_editions.json)
265,King Lear,625,1623,A11954.33,23135,46,,,,
269,The Masque of Blackness (The Twelfth Night's Revels),631,1608,A04643.1,1492,3,,Y,earliest dated edition (Kim 2026 default policy),
269,The Masque of Blackness (The Twelfth Night's Revels),632,1616,A04632.14.1,916,2,A04632.14.1=3,,,
270,The Masque of Beauty,634,1608,A04643.2,1516,3,,Y,earliest dated edition (Kim 2026 default policy),
270,The Masque of Beauty,635,1616,A04632.14.2,1487,3,A04632.14.2=3,,,
279,Troilus and Cressida,657,1609,A12021,25025,50,,,,
279,Troilus and Cressida,658,1623,A11954.25,25558,52,,Y,override: New Oxford Shakespeare MCE base text,MCE base = Folio (NOS MCE; canonical_editions.json)
296,Catiline His Conspiracy,690,1611,A04640,28488,57,,Y,earliest dated edition (Kim 2026 default policy),
296,Catiline His Conspiracy,691,1616,A04632.9,18715,37,A04632.9=28,,,
303,The Alchemist,701,1612,A04636,26190,53,,Y,earliest dated edition (Kim 2026 default policy),
303,The Alchemist,702,1616,A04632.8,19764,40,A04632.8=20,,,
304,"Epicene, or The Silent Woman",704,1616,A04632.7,28265,58,,Y,earliest dated edition (Kim 2026 default policy),
304,"Epicene, or The Silent Woman",705,1620,A04645,25503,52,A04645=4,,,
326,"A Merry Dialogue between Band, Cuff, and Ruff",738,1615,A03424,1597,3,,Y,earliest dated edition (Kim 2026 default policy),same year as the next edition — lowest edition id taken; check
326,"A Merry Dialogue between Band, Cuff, and Ruff",739,1615,A03438,1603,3,,,,
350,Lovers Made Men (The Masque at Lord Hay's),789,1617,B14287,854,2,,Y,earliest dated edition (Kim 2026 default policy),
350,Lovers Made Men (The Masque at Lord Hay's),790,1641,A72473.2.1.2,846,2,,,,
379,"Othello, the Moor of Venice",838,1622,A11992,24518,50,,,,
379,"Othello, the Moor of Venice",839,1623,A11954.34,25772,52,,Y,override: New Oxford Shakespeare MCE base text,MCE base = Folio (NOS MCE; canonical_editions.json)
385,Time Vindicated to Himself and to His Honors,852,1623,B00230,3121,6,,Y,earliest dated edition (Kim 2026 default policy),
385,Time Vindicated to Himself and to His Honors,853,1641,A72473.2.1.9,3092,6,,,,
407,Neptune's Triumph for the Return of Albion,894,1624,A04656,2134,4,,Y,earliest dated edition (Kim 2026 default policy),
407,Neptune's Triumph for the Return of Albion,895,1641,A72473.2.1.10,2773,6,,,,
411,The Fortunate Isles and Their Union,901,1625,A04652,2995,6,,Y,earliest dated edition (Kim 2026 default policy),
411,The Fortunate Isles and Their Union,902,1641,A72473.2.1.13,3019,6,,,,
418,"Lodovic Sforza, Duke of Milan",911,1628,A01853,15756,32,,Y,earliest dated edition (Kim 2026 default policy),
418,"Lodovic Sforza, Duke of Milan",912,1633,A01851.2,16195,33,,,,
426,"Wine, Beer, and Ale Together by the Ears (Wine, Beer, Ale, and Tobacco",923,1629,A01424,4765,10,,Y,earliest dated edition (Kim 2026 default policy),
426,"Wine, Beer, and Ale Together by the Ears (Wine, Beer, Ale, and Tobacco",924,1630,A01425,6089,12,,,,
437,Love's Triumph Through Callipolis,949,1630,A04655,837,2,,Y,earliest dated edition (Kim 2026 default policy),
437,Love's Triumph Through Callipolis,950,1641,A72473.2.1.14,833,2,,,,
452,Chloridia: Rites to Chloris and Her Nymphs,967,1631,A04644,1186,3,,Y,earliest dated edition (Kim 2026 default policy),
452,Chloridia: Rites to Chloris and Her Nymphs,968,1641,A72473.2.1.15,1189,3,,,,
496,Coelum Britannicum (The British Heaven),1022,1634,A73704,7553,15,,Y,earliest dated edition (Kim 2026 default policy),
496,Coelum Britannicum (The British Heaven),1023,1640,A17961.2,7622,15,,,,
565,"The Bloody Brother (Rollo, Duke of Normandy)",1114,1639,A00958,19108,39,,Y,earliest dated edition (Kim 2026 default policy),
565,"The Bloody Brother (Rollo, Duke of Normandy)",1115,1640,A00959,19141,39,,,,
